,27,12,13,6,0,18,17,16,15,14,10,7,5,4,3,2,1,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
1,,,,,,,,,,,,,,,,,,1547.9856935996315,1666.6739461201948,1749.327939244113,1688.3222054601656,1929.3560688756802,1621.0602046332,2071.7643626283684,1655.5930771504047,2228.672128694474,1647.4361860180102,2386.718131361816,1641.6280011771546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,954.6913630248197,968.5957763656054,937.4964012563698,976.8845516650136,881.93475333042,913.9362837311885,808.8952383472821,866.6461762012007,764.2886369272913,807.5356957455846,764.0744263455031,807.080626155548,611.656483943548,807.2567355881656,,,435.19845138973864,777.727006571504,287.2892560254176,774.424991321285,287.59597445402585,774.2653567572194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,1227.8232247904364,1360.2171982377977,,,1388.1889241302297,1329.9772516606638,1440.717615830063,1315.6138957316307,1485.7342587952683,1212.7964114639806,,,1510.9999063090145,1052.6752326725075,1553.6246361894687,1034.7299318742128,1612.9825924589582,1038.8486572377735,1713.1612732184121,949.1648703827143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.8507103949316,369.1190757344308,1854.563490500939,351.021714366906,,,,,,,,,,,1739.0099559548346,277.93921927750637,1736.5296380328866,278.9754606813384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,2772.684291735434,467.7435061468943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1400.5316821122888,1293.7644211271447,1373.3508804526875,1209.5852700652633,1306.359496613626,1102.420972117605,1287.3877914160307,1097.4699015149338,,,1288.4102822989444,1087.1827417585423,1287.9913514251814,1085.9167386977417,1287.7043804743705,1075.2058106043864,1285.176336332596,1068.7371908871858,1285.9148203081097,1041.4767619145,1285.6653651796628,1012.5268736141061,,,,,,,,,,,,,,,,,,,1242.4606794571564,941.7946016207877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242.751948361591,639.5572792521676,1251.303923380915,631.4941974044048,1271.818691908126,615.5834732429099,1273.0348441719027,615.3927495352441,1288.0577901635604,600.5536157997169,1305.3842092439388,596.9967001728993,1315.3704624275285,595.0013071607126,1339.2987381908438,583.5064271573499,1354.4343408461946,573.95956566214,1356.335047812223,574.911600539336,1367.8371357492783,581.1281449493522,1370.6689309049752,582.186948245635,1381.2514226899264,582.2809530631346,1388.6003323354723,580.4966708047299,1388.7872125872643,580.2457486342662,1397.9197418950212,573.4040533144973,1415.8075608799893,574.6596200066973,1418.1264523378393,574.4906638521669,1422.9916185326697,569.5709129909548,1424.3325250309383,569.0979365014981,1429.3076785545602,566.8658074444635,1439.9778504273881,567.6240485393213,1453.0500828207207,565.9754060723432,1453.9786247718612,566.1271030131533,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,1547.3996211202857,1455.4465385409417,,,,,,,,,,,1753.2160168603605,930.673136735324,1832.011896413863,960.7595997820216,1832.304215611778,960.8688527500523,1884.8712704761715,1037.3577603388294,1906.924046832916,1209.7276274292465,1801.8363012988586,1276.8433401887823,1616.1652540390178,1342.9789068455334,1540.7228114420643,1464.2443701053967,1549.1832350902407,1496.8609099468547,1534.2299655975542,1577.3998378412475,1518.6758832368223,1614.8623960011373,1455.552687606989,1650.1789726245252,1427.3459029175078,1655.855890615926,1389.2002557794299,1650.3943591828922,,,,,,,1332.8336423357603,1475.1423305610583,1401.219630164099,1471.3352508749015,1513.7343349069415,1459.3062051184554,1514.4926104428498,1459.3153002155289,1515.1298733088327,1459.412141725126,1529.4005563797182,1449.7609982889005,1529.378450992696,1449.7398602151416,1649.8122274333175,1472.8167595132225,1752.11532763521,1541.7534035372628,1840.6785500168585,1737.6676309195232,1671.0677825337937,1896.6523395926952,1554.7446997541435,1810.7253432641348,,,1621.930660780865,1529.7989824868564,1812.9773572827764,1537.8614513554446,1902.5806366431893,1547.2152903108552,1993.0604012820572,1653.7074385107867,1918.296986344885,1797.268734651225,1795.5227890179333,1783.470245528816,1665.4926661836118,1728.5600285209819,1598.8709583238863,1634.1068207756375,1504.6571965681462,1562.6374189078372,,,,,,,1294.1469361916108,1274.1168699205014,1305.6692358521586,1236.916077577327,1355.8858753558925,1165.777678140425,1433.0576209936155,1113.863410290462,1560.170483598022,1099.7966126912024,1663.3029954398442,1209.5173553886948,1679.2262898791519,1322.504726635404,1624.3319973236032,1445.202451401456,1519.83649542694,1582.3317265494097,1450.2349995858408,1738.7786079035584,,,1295.4775986473028,1441.3230662426984,1409.0118925827403,1405.5375491847135,1526.1717457760371,1418.8069313469002,,,,,,,,,,,1681.5128272620175,1152.9991002395996,1663.7761939770362,1143.042023381442,1656.7875709229975,1139.913574165976,1652.5066489977512,1130.807544965264,1632.1470634945263,1113.1412448349436,1617.3314100674968,1103.8823654358648,1587.4161874865367,1089.8679414560772,1555.9459108137137,1086.5916541875515,1543.5494701476425,1075.2026417971454,1519.0737806357454,1065.3784334117693,1513.0371446445624,1061.9143279402347,1471.317503660054,1045.1188191773672,1405.3192277865062,1019.9105989212876,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,914.3483829061382,1604.917846566972,885.0648927053616,1543.5478631899678,883.5299108230544,1540.8686762132693,877.8153492696147,1521.1709878682727,876.1858526012097,1515.603686163984,917.9469969336502,1452.3580963436646,921.6743617275662,1448.0025149414605,921.7592530631003,1447.773665006261,,,927.2762575508034,1440.1588796206008,930.8221118411332,1435.8255531319267,931.3222372977446,1435.4491320833915,1105.415530102872,1464.7291533515079,1118.3804564714308,1504.0700071133285,1092.634628623887,1537.0226916919169,975.7914057100559,1422.5082390657617,1014.7235520616593,1334.4400699768423,1015.6282751118034,1333.2388562073147,1172.1337411555894,1388.2816435766556,981.6054092051701,1397.330487124615,1111.3441734047738,1293.2065683726148,1213.5041989460442,1349.0583406349751,1219.5185878328998,1352.5043298835283,1222.4101532465402,1350.188339889342,1218.1030320636917,1388.5213724574603,1217.706178581526,1393.2806519145256,1148.0130436384861,1483.7915208507325,1146.6997051478309,1484.2798712998176,1026.7364141201765,1464.4680888464986,1024.4358032735536,1463.6357654889741,1001.7846073584107,1453.0646549655437,973.9356392424227,1442.1712559107627,931.5697113049783,1405.4490355895307,887.3179740439616,1386.1150923349192,869.6645012401142,1380.3915170819278,853.2092518100039,1377.1233640496084,852.9810150738534,1377.1023089967885,853.0722192793424,1377.1464908456658,,,810.4579756075852,1266.8951180486904,810.3877520280516,1266.845372535792,810.4167705514424,1266.987598612885,810.5030740356158,1266.814067768159,810.5167435949921,1266.9852193755826,812.0951520299426,1261.4140188983058,812.2742190463279,1261.3109367203995,814.3234577692161,1256.512345544735,886.597645390634,1205.412089330401,886.4362973877263,1205.5149396127802,897.9702815003803,1202.337196357807,909.7148085243691,1199.895230924757,926.1436152602979,1198.8289506343529,929.8633615756155,1198.7488869053216,977.2660849912463,1218.8775698338816,1001.032106298901,1243.7660665338947,1008.0491890425941,1249.8757762621544,1041.0176552957525,1320.6292958171232,932.8652251269475,1431.7179016818045,900.1861100867873,1430.9483572637646,896.4430198916189,1431.5796854638786,832.2958574115614,1424.080012215425,792.8293941127986,1380.6337203034775,792.1609741772147,1311.5871089983946,807.3798859328474,1283.6819730795803,811.5265019273571,1277.231596508532,887.0314252308526,1237.5868410707048,897.0369101775884,1235.653817895067,910.2081621354794,1232.4101347015512,934.5861453085244,1227.4215337046871,1033.5651196965857,1306.907359220389,972.6619464328757,1400.1454039623043,954.9793623404495,1434.7811670014985,808.1687409423889,1476.2490038297944,767.9704553148975,1474.0993522521885,714.8222480636902,1453.924707581423,,,686.8208543927681,1413.1729182312024,685.2215204732646,1409.6116687249412,685.3505074322999,1409.5229303365388,684.1913698360615,1406.6994624527229,682.1166636310637,1401.5050136518528,673.5133957402492,1333.2844145872173,727.8401596158712,1271.4271835265915,742.3100221351227,1262.9902090064002,757.0410785713715,1255.8164946259465,779.3299419887469,1248.695036230858,779.2395543161356,1248.7617542370856,823.0068475186648,1244.3748028215293,906.3950090785675,1298.4459816587264
14,,,,,,,,,,,,,,,,,,1418.4548701683852,833.7768451725333,1409.9571256100428,827.8966839716251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,1321.4963543118001,1047.922088257583,,,,,,,,,,,,,,,,,,,,,1264.3933382481014,542.023825171315,1242.9207838493187,543.4942892715953,1231.8696194554195,543.3411741777486,1144.1635613371416,525.0790325030043,1136.5983432571215,525.2085118975176,1131.6490422344148,526.2195158440236,1115.2092565919347,520.3879209076767,1112.41440180873,519.6329582033261,1103.4039597990272,520.3572493056454,1099.0782620841876,520.3923503814424,1095.9014451812009,520.3096630986034,1091.1031682404196,515.5837235328623,1084.2410125910544,511.4893714867954,1013.5249068792867,485.11145302912007,869.1346680091291,539.7732773596327,751.6857182304311,584.7862286315284,660.2784314690252,702.0013789746587,557.7803361036599,805.0825584277785,493.67637939125336,952.8552766853848,544.8179601318958,1097.6547508435594,609.3317307907599,1180.8496871842024,713.0506074741597,1239.2752275680991,863.3489261705514,1147.3502314613518,,,,,,,,,,,,,,,,,413.45943347978255,646.8645162415894,379.5780137926983,636.3140240337641,265.1062281141471,669.6451170728994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.6690868580695,1707.8459109944306,,,,,,,,
16,,,,,,,,,,,,,,,,,,1348.9573750494098,1535.81339429724,1355.299099930395,1526.7019978470091,1360.609184898218,1519.5419171892313,1364.3388200424295,1514.9810384510834,1365.839630986077,1512.7450631667054,1366.6911804451486,1511.4083790350219,1366.841166394417,1511.3176885133673,1367.0541288225709,1511.1380583832563,1367.5496384337157,1510.952267926763,1370.2299214992622,1508.7561213475954,1371.2703732009634,1507.854563826124,1371.5748648252302,1507.5960377006181,1373.0457464946312,1506.4893424713368,1374.69766342198,1504.3010915714515,1374.9902295666966,1503.3390950488501,1369.31623137701,1500.0080853541206,1368.7311149174109,1501.2981406003278,1368.6548347062758,1498.0204337163811,1369.8451649760532,1488.8622134365187,1372.1424220901815,1472.8603353348767,1376.8223154971756,1402.6360525449418,1397.8993651011485,1351.1349657722408,1414.9526563995862,1325.6532417464944,1419.896731469211,1315.8986259639667,1435.3913980354157,1292.773559226203,1435.8250900887194,1290.0271942239688,1435.983595416429,1290.04209027809,1435.9373019917512,1289.8910103472185,1436.0235895529593,1289.6428167154563,1435.974081584639,1289.6131868250247,,,1437.0694803658675,1287.9219457564498,1437.4228814939572,1287.2419272751358,1437.8486949046958,1286.5677432735329,1437.8127054191814,1286.4540236198438,1437.8827357111097,1286.3848470828336,1437.9732751517238,1286.4030650570212,1438.0207370731082,1286.4552537798234,1437.8931994475784,1286.4186592437447,1437.9899130209915,1286.2387660347963,1437.8153655527915,1286.2563421446434,1437.9633573348544,1286.3163616718803,1437.8763759667675,1286.422126051872,1437.794344665764,1286.2749407964084,1437.8132096728796,1286.324870939045,1437.992363535378,1286.2105318774534,1448.314700330878,1268.6489809793836,1459.0399608748976,1259.995607142461,1475.7963262088874,1250.6613372324537,1485.0694933961522,1249.4366340584688,1500.188857944219,1248.6594441668879,1501.7175220483014,1248.5026306126215,1502.2234418909725,1248.8205403066547,1502.2722784547777,1248.7895461822504,1502.7170449168193,1248.7432279721295,1502.5451745804835,1248.720892282547,1502.5958141254407,1248.679486112706,1502.459145371304,1248.57233702734,1502.565923639611,1248.4821925011186,1502.526995541668,1248.3517172007448,1504.2912189943659,1247.1728951445095,1509.0566904457169,1240.9178530921617,1510.3197889758926,1236.861636253264,1513.8187273205324,1229.9214460851726,1508.1470910801208,1207.5763646081696,1510.2457107440475,1195.108530734922,1507.3723320147806,1182.1199605678942,1503.7236043285734,1175.850142571539,1493.2217749685472,1175.5096489554905,1487.4758829803998,1174.8081486242675,1483.7159599114084,1171.1214154424376,1472.979576822176,1168.4782371583335,1458.6731173975522,1163.1392966694725,1432.3947235928833,1158.1864689134648,1404.0409522053246,1161.815511061158,1397.1835121081715,1159.6760306302815,1382.9905005906155,1159.991945241669,,,1370.2175795894702,1161.2040225215108,1366.9111483183008,1161.2456702825648,1366.8555395127364,1157.6310851979968,1366.849206248975,1157.6903025859249,1366.9790396717915,1157.6513381636946,1366.8479560001822,1157.6425891307683,1366.9000043163564,1157.775046624103,1366.9786383587407,1157.6302619291382,1366.8746590529504,1157.696870206421,1366.945442249809,1157.641761301543,1366.9571948441699,1157.8165181126703
