,17,16,13,7,18,8,6,4,1,15,14,11,10,5,3,2,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
2,,,,,,,,,,,,,,,,,1564.841370072671,1573.5039371149185,,,1489.5384538979865,1372.7547683837997,1498.5444296745618,1342.0563306542824,1483.1451342537337,1335.3778812804942,,,1325.794439157067,1323.5463983732818,,,,,,,1162.4297773569735,1246.284487904263,1086.1562479422016,1235.6701782570392,903.6910031416645,1264.8329264811612,700.8714137863094,1323.503249881667,492.8427417931104,1362.5283546155963,287.3814365030801,1430.4264362045408,137.47719211773605,1388.8982913565762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,812.4722230835421,1352.837670108517,793.299051733398,1358.509862901919,714.1008692562241,1471.4190713452408,661.0485199354852,1572.4397742841938,677.2381123780007,1749.5861091589536,800.614430335586,1908.576869690727,923.8519706230244,1851.5988277041781,1039.577459975223,1752.1645859084497,1143.7521059235687,1563.2420886562047,1171.12555079346,1449.29941880984,1152.2209266747036,1405.2734594108329,1143.8001811505862,1388.4679890334696,1136.8783761841685,1272.513857814897,1057.0207007315412,1214.9063867570997,891.9018361093121,1178.1042663982325,,,832.666231593506,1062.8310896979199,867.7439069856717,1007.9553586066905,852.6504855254595,984.5008806374742,789.9690705082224,889.1389054572331,,,,,,,571.3108953320398,644.1864827747746,571.237611811531,644.0845018811099,571.5099520604585,644.1482899077423,571.3849896712933,643.9557200401758,571.1189076396684,644.2276350090158,564.3429848164611,640.4198907790866,,,,,,,,,,,,,,,,,441.97756654110725,606.3181216653404,,,302.7734811377184,577.1762615357485,247.20880284417055,614.8446342245696,201.9704847864062,637.4985428174107,200.38988806264427,640.1977839314005,196.74958531282186,640.7058016701724,196.3340300784534,640.767354206277,196.10493421598176,640.9962723992548,196.1347453378328,640.9552184976866,196.2177540119561,640.7607128936362,190.5946746930364,642.2392946954195,186.00000327135032,643.345513570647,186.0244340801065,643.2390026736632,185.7497186738409,643.3993182481456,186.0386816854232,643.448400234501,186.3318448391769,643.2926214112156,161.97302503330724,648.7104073045286,162.11549227239283,648.7353665484028,162.3406705720976,648.6821669104944,162.3121053649278,648.6513420001592,162.03621070575133,648.7995228296113,162.26252205801495,648.6588517649241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,1507.498369975489,1171.297829385439,1373.4365640969072,1137.9369218929396,1213.4606057254746,1171.0198411909832,1177.9548226216737,1199.5401364499644,1160.1673962397647,1198.8810042297996,1137.2503565041472,1193.2273181048404,1114.817441815135,1191.0797310614794,1101.3232972157562,1196.543715689192,1092.6449875224455,1195.041973567626,1067.4644670527553,1199.0575667757291,985.2614327424895,1283.8431198633155,,,1120.6961366532269,1511.2867353447089,1293.0782808925885,1423.7866225270511,1332.768115854561,1305.5830321533404,,,1302.6742052347727,1177.3737342331935,1163.127927076113,1021.6403509250655,1014.8524138510896,1002.6099573212732,897.273927309728,995.5303806606877,798.7207872437065,970.334566449116,595.4658620888056,1014.0017245053473,595.6796281345656,1014.0141427356854,595.3696874125701,1014.073245456461,595.5449278571225,1014.0420843782587,595.426712190072,1014.0065279935563,595.7165749446852,1013.9808445626479,513.1326321188525,1171.2860961885901,585.6197653448207,1298.6439070413467,585.629157017059,1298.670644457915,580.3646245648149,1318.355405992103,587.9668404711636,1418.057797428274,574.8851413270734,1453.602488800813,575.1338716550717,1461.7655488355747,555.8620933249326,1467.0550577575623,544.0874363915773,1502.0462711231821,532.9866406095822,1518.9829483406534,506.58067388919324,1551.2410903300304,,,,,,,,,,,,,,,,,,,,,,,257.075627589779,1505.2452957013468,250.01215964741348,1502.4713750469232,150.3738161053533,1488.033491209636,110.40970256208287,1501.1632680575524,85.04160085814722,1516.2446096448011,53.57408546348702,1535.1497240526978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,1274.7693497971186,1582.3273180510855,1300.5832940528599,1463.3646169582107,1329.6255124783647,1459.1776582724594,1365.0275192394488,1460.727751683683,1438.9209631035028,1506.2188742793846,1472.3734974762053,1524.1083603867467,1505.6053990201485,1540.626453946005,1536.5757022490702,1696.1077077758227,1438.7999912228092,1771.296736509633,1351.4765749660646,1612.6667945748266,1526.8304769311887,1561.8451755482436,1517.6776915210962,1743.3370192932362,1364.369308864055,1724.5765857058138,1361.3989394439782,1581.8961977675594,1528.4778448447453,1604.609946444492,1368.2224296931875,1723.1978158442769,1531.0598235802454,1617.0932140790082,1364.0311470666163,1730.9902894368995,1526.3023090103638,1620.7729314743951,1379.2607565998046,1744.40014843321,1550.77680574527,1638.692160098967,1520.1613541732593,1807.4310738827419,1436.6551114129045,1626.2927574709367,1511.9198984093248,1807.5083907060884,1404.0187962000905,1772.7027874905862,1382.3934754788736,1756.1714036436078,1400.9020076261615,1599.7633829439953,1567.173881205578,1662.6313101370422,1392.630511285991,1756.894356038321,1584.8342120688912,1651.6414417104627,1448.552146498385,1787.5182237459671,1448.3089413701675,1787.5349052303784,1436.9705231371806,1781.1046931582732,1487.4794718439375,1603.154996145408,1598.4349187486582,1615.7795655544596,1657.5476893100013,1793.3774018895547,1657.3772998648644,1796.1390843335498,1635.2717260770476,1867.4500827439745,1521.9721559302827,1714.674475633056,1567.9967662675106,1712.0901276946172,1637.5161700258363,1886.033049891913,1482.330973813533,1747.045863354131,1652.1744835497161,1855.0731526304028,1463.8754251048904,1867.4154255864908,1461.3314529728761,1707.8092880874328,1612.323932231249,1844.9876019749938,1466.3478505672874,1709.2547350334848,1608.4261732095206,1854.967366449096,1431.469779488643,1860.9716118113313,1396.3237726551354,1824.6870377193804,1396.437615640475,1824.670734674424,1555.7899713147694,1714.259540916009,1435.0050121628499,1870.1346360347395,1416.3999604629462,1861.2453525602969,1538.5060463388918,1686.3952297651551,1582.7529214851504,1809.1969919980336,1576.3470911249196,1856.6548302330452,1388.499663575029,1873.9592304914604,1388.6610511111942,1874.1442157868712,1408.25899888762,1717.6576520506005,1453.0096373787728,1683.2263435408215,1579.197723129678,1836.9016843112383,1439.9832442690238,1856.7376191741832,1429.9831589601417,1852.0952881512715,1401.181825742234,1825.3381048392826,1483.9350246360723,1675.2603692599907,1585.754559488634,1727.5197564378614,1451.0834194528252,1889.4763094758196,1449.9751151561572,1708.6047934745689,1600.026930572501,1859.7476973396874,1547.2552085932073,1905.554185253508,1378.0835682243942,1817.4097557662362,1590.3223798788651,1802.401574122041,1393.5824699140835,1762.715704837512,1464.9889323511086,1707.4052019844864,1605.960843629243,1787.1707367913407,1622.3308746670969,1881.4846118972978,1452.4344950957523,1779.5778195165797,1609.5602031807532,1789.8683085688162,1625.6654520226903,1800.0931552207062,1493.6552794137056,1948.3585121268409,1519.2161581527525,1772.0636227778323,1520.1191714825238,1771.406484589064,1627.8988984415705,1932.3294286566631,1461.9325381935673,1912.6613694105774,1458.058983526835,1908.4972014505142,1637.441314987391,1805.7719066161685,1535.8648476518683,1966.859412817883,1557.4648543939034,1772.9802597189341
11,,,,,,,,,,,,,,,,,1083.310734704008,1538.1558218421872,1114.5769327842015,1608.3561892685843,1202.8728274667571,1622.1982816049042,1276.7691461310287,1663.4067928146173,1299.773165601361,1731.2471316385204,1304.4864615162287,1846.1472582611989,1263.3996571175658,1965.2068996001512,1269.7170296560964,2054.3348141191877,1348.351500799796,2089.9561075112892,1416.8190426905728,2164.4325900067392,1440.1528572408822,2289.2218166120238,,,,,,,1443.3214526779564,2644.941538156164,1443.3664993146695,2644.9064073802074,1443.4028241109056,2644.917645725086,1443.3304036845893,2644.863361648196,1443.3422599296678,2644.9155877273383,1443.2661784195789,2644.951093311693,1443.3447327828153,2645.0122547388,1443.2531395371038,2644.982857432156,1443.3351561192737,2644.9876668237393,1443.2865909279885,2645.0140806611375,1443.3164044952252,2645.028139918597,1443.253094071808,2644.9965241451964,1443.3816866649574,2645.0090366348004,1443.3330493855742,2645.0451583412973,1443.3252729352519,2644.9883936042393,1443.3513364369028,2645.0187697391593,1443.343970750164,2645.033700070653,1443.3771328078444,2644.983526383382,1443.338923382305,2645.0158055323914,1443.3313572260784,2645.0400375589734,1443.3419294979437,2644.975161836706,1443.3891592611928,2645.05668335511,1443.3175632601742,2645.0175066496813,1443.3186375462444,2644.995380485029,1443.3020362652546,2645.0292721618575,1443.3457219139514,2645.050233228217,1443.33989730756,2645.0170405076246,1443.283469806883,2645.0018498145578,1443.3197487522461,2645.0779640055234,1443.2825747603897,2645.074977652284,1443.2644399395317,2645.027677611386,1443.3176900121864,2645.0667286674716,1443.267035909231,2645.009853577121,1443.3001663748464,2645.011011108583,1443.2493897334361,2645.0202552871197,1443.2944688042123,2645.0473232964823,1443.3163199020332,2645.0186123198096,1443.3385969602566,2645.034480247212,1443.3041286169575,2645.0073397782808,1443.2788568205012,2645.049186749728,1443.2922431270324,2645.134389712005,1443.2695248692662,2645.1114562724056,1443.2897906414858,2645.0863207444704,1443.2978156836152,2645.059363915415,1443.3194687249832,2645.0884559341466,1443.3210206583205,2645.101462519113,1443.302614571538,2645.079104417844,1443.3222643518693,2645.079687040769,1443.3454364480936,2645.035681099959,1443.3074391979137,2645.1138734257875,1443.2820502047402,2645.1051466498952,1443.306040120682,2645.085566599994,1443.2843099422512,2645.0396544246023,1443.279115102876,2645.1163900536976,1443.3054631273803,2645.018832123788,1443.2665462484229,2645.062248593625,1443.2361223526937,2645.0842653317354,1443.2328572376348,2645.1424135751145,1443.283494524607,2645.1032510641803,1443.264221998915,2645.0581743364273,1443.2652472268458,2645.0639018787983,1443.3449708580997,2645.082226947402,1443.274529826259,2645.0969116685237,1443.2447635151414,2645.0126174200263,1443.2935977666045,2645.105763929551,1443.221650282682,2645.082130524145,1443.2422771462702,2645.109131565045,1443.3125535608847,2645.0775766236225,1443.3168175787896,2645.0498228588685,1443.2616550946175,2645.0986253880765,1443.3316926580133,2645.082188109854,1443.241995248787,2644.9917491585825,1443.3008887398028,2645.018761869591,1443.2519705880447,2645.110899126548,1443.2492776964077,2645.124324463206
14,,,,,,,,,,,,,,,,,1824.4751938534255,1189.3178491357355,1823.5922909874666,1198.8796265684148,1823.1060360471772,1205.3023307906599,1821.8297690157144,1212.9551627613075,1820.3910749693948,1220.3044292209663,1820.2455132729722,1223.0720773900457,1820.2251948895514,1227.887937351739,1820.194751259604,1233.1816641592034,1820.012056005661,1240.1241866364903,1819.8764874903936,1247.7851364776802,1819.9902011594788,1253.5901718332375,1820.3230219241725,1258.3942095932352,1820.514907930012,1259.568659244375,1820.3104169401597,1262.3578321468528,1820.4251599190038,1265.4577723605723,1820.6255316236573,1268.6931886697253,1820.6498302809093,1269.9270692991395,1820.8070160256962,1272.5894984104737,1820.5536962877475,1274.0190917498328,1820.577588401273,1275.4083547567902,1819.7859749794814,1278.2361061820277,1819.6505020501081,1279.6971247428796,1819.3990655735877,1280.5278248812847,1819.5799615260032,1280.9115952321852,1819.6515853092906,1280.965938002453,1819.572737339653,1281.2374100526665,1819.5966759846035,1281.3506957586408,1819.5424141508001,1283.297164457721,1813.9011133905758,1285.077576435083,1804.1441197834235,1286.5796264159894,1798.4270661847365,1287.948184578226,1793.230944182008,1287.960927828522,1791.7691603423125,1289.3554861531086,1790.7410631433627,1291.597099693093,1791.5974850768139,1292.4649364663653,1791.1730411804208,1297.8693925805667,1791.0644664178387,1298.3793733629088,1790.8165181622433,1305.7715157038645,1793.3455599970052,1312.8795291416673,1796.766073042982,1328.750179570345,1797.3053560123014,1340.8476308184936,1792.5677849231631,1360.7082167345136,1788.1739632646604,1377.8584415625348,1786.6671529428777,1383.4107517735554,1786.3643001726375,1383.658627731385,1786.6571151438247,1385.0904485632013,1786.3811249833764,1385.9517557123074,1786.6048983507883,1387.097856384687,1786.6806669826478,1387.1603890579802,1786.46235762659,1387.212865678215,1785.7653002900179,1390.7921188104967,1786.1429792418257,1393.5047154903027,1786.211099423998,1394.1023671777286,1786.2256024780386,1394.1057289497292,1786.1260705296631,1394.907698144391,1786.0227867182264,1396.5336721454091,1785.990859835664,1396.5812942416758,1785.9614596558474,1396.8214641873703,1785.9432366962064,1396.8788771671989,1785.9702603555502,1396.85572828579,1785.6113878397555,1399.2068114131823,1786.0455792624878,1400.5089853938741,1785.779998116623,1402.9143531126379,1785.7078944704797,1403.318773076658,1785.735176228328,1403.3047849347222,1785.7353143573919,1403.6620893677036,1786.103365330475,1404.4541515734993,1786.3422336518813,1404.9152191713104,1785.7251525667218,1407.8486511462163,1786.4967174815617,1410.7314259784855,1786.200263209769,1410.8029179410162,1786.3438312751969,1410.9538314586598,1786.8722040417763,1413.0335533514246,1786.8998595888693,1412.99655088054,1786.8715448923037,1412.961612296086,1787.462945945799,1414.5951170518367,1787.5401319276748,1414.8213454947347,1787.2728199971336,1415.6545941720558,1787.5372333868677,1417.9081401590774,1787.4362997702979,1417.9906204761835,1787.562553092801,1419.9817566046574,1787.2291099358122,1420.7344563121037,1787.0399774191817,1423.5943146277511,1787.3747534417005,1427.0485361110937,1787.35465684913,1427.2366773316658,1787.269395080821,1427.5368791606465,1787.5838748392346,1431.8080769604123,1786.8210869280438,1434.6165706757383,1786.7329208379376,1436.1792997286911
15,,,,,,,,,,,,,,,,,1098.4961359293313,919.8558708124064,1093.0465129281215,915.336404219191,1087.8706714876673,906.3779683640978,1088.924292009269,901.6904691847856,1083.4530814587201,891.7651975875352,1079.4290914687363,890.3590096639579,1073.7158011140032,887.9939894895236,1072.6275280170335,880.2374197625912,1068.1656970089412,878.3146168370438,,,1007.3225937440562,887.5029255429649,1003.5342022205276,888.6964443348272,974.0555044197343,881.1986236996463,960.9404024250509,877.1556570560144,959.562583894814,876.9180716977702,954.2240737435659,878.0706653371501,950.4253018493565,878.7836043212938,946.9550672996232,879.6797373541401,945.7183165225528,870.8686714868782,942.6570947628876,855.5720497119735,939.3012144678709,854.6834687847808,936.5267818495918,855.2231454960712,931.5685240539084,853.9143038210439,928.5216214485239,853.1101974977863,923.8806876281375,854.2252826249344,907.9487296633818,848.9555507905228,904.6896559611362,848.7206086319309,866.2625331157311,863.5526971418308,745.7893074460443,962.6143907327273,728.7068445264761,999.700540762224,735.9244081949504,1094.13250952216,747.2920256986573,1115.717213399306,849.9699264495081,1236.5566995268173,,,943.1299181177765,1498.245297083033,1078.5302367723061,1496.9865708941259,1083.6580719559186,1496.733648606902,1137.8774273439217,1462.8985820822886,1273.2850959818716,1429.384055877132,1380.0334043701077,1374.1323642803236,1423.5853641056035,1230.7598152921967,,,1551.3607083487977,1061.5845057409306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254.5468174788066,367.6265120351504,1240.3116561376073,364.8821413198512,1237.0163777899193,363.1990352515491,1232.3298761037283,363.06913680305246,1230.1360947442226,362.1755758084931,1228.6621601151392,361.07347313665224,1222.8500896544317,359.6160617895067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,1438.5421776859541,987.371296243251,1502.0791264232619,886.3064882938129,1586.7739953160012,875.3072608496883,1614.2324889531096,872.3730514200241,1615.8151006210014,872.6247781723603,1625.3989137092706,873.4182452918595,1630.9582572833547,875.3031101692316,1634.9563302043719,877.9202594327625,1641.014060809537,876.8402883552849,1671.1530796348954,888.0804099418502,1809.654832974294,880.8974982342351,1825.9148161472883,881.2836379379795,1840.0818057009453,885.5347004384743,1959.831473529968,870.2874519956937,2061.3505688227,878.4679278171242,2151.640113909232,875.8996706259671,2254.4810330337723,850.6057980464019,2319.538228389376,837.5719298329593,2434.5403276530983,888.5669447288437,2466.5853707608558,1011.5059052629646,2482.429332986043,1175.51118523722,2441.545407259907,1215.842741905535,2386.6534874147833,1305.8793783267688,2384.5647743745462,1307.1223255397567,2380.2563628878925,1307.6419883353014,2310.263698810388,1375.996029831497,2248.5210450125687,1410.5427882718493,2172.2158734706795,1394.5613677955741,1968.8174883998156,1353.3846568930708,1948.761645206739,1368.8752537938033,1931.915366482851,1384.1716785684935,1896.4360119100902,1409.5892458781743,1815.4172768717476,1439.6091398211845,1691.7058844175313,1414.9821909089962,1649.4253483856226,1376.6720982142529,1619.3872677824331,1347.0619221418056,1607.3198299847177,1332.08613537842,1611.0188558763257,1251.6909002159466,1665.9413879049691,1188.83642010702,1740.9805110352208,1168.251873573697,,,1890.6108214132457,1222.5041567557814,1914.0774693349954,1262.5440896227328,1990.5817468032446,1356.079153795241,2128.696200171297,1436.172111108109,2287.3882236717354,1418.1847742185175,,,2528.2702352409783,1621.6277999287684,2528.3113627516027,1630.4706730183054,2529.569589550821,1636.0224875397935,2528.304787098709,1638.4286195919512,2528.5012892312475,1638.2446555040206,2528.2408590977775,1638.428890027207,2528.3669837649068,1638.52383726404,2528.5096206685757,1638.6542140752726,2528.391826409026,1638.3983184661909,2528.384509626825,1638.471220677467,2528.3194048001774,1638.3206210049614,2528.5048663790512,1638.3134699133154,2528.307943667915,1638.3179180791192,2528.388876085568,1638.4792277378233,2528.521962208253,1638.5659219499746,2528.3096859464044,1638.2814619195005,2528.520979929667,1638.5306674378642,2528.334539615582,1638.5171687777804,2528.258632816057,1638.4997150263507,,,2528.2140468281254,1638.528070566522,2528.4411868401103,1638.4439518090392,2528.3655474683233,1638.5486367382382,2528.3810821431243,1638.5102519507354,2528.3070843359133,1638.4301726445315,2528.490710613259,1638.4520950501299,2528.502725731461,1638.3622398368593,2528.3300072869724,1638.6505892397383,2528.3582871234444,1638.6690389014116,2528.285622682153,1638.5583469174765,2528.4201577364274,1638.4118790242433,2528.4134938368475,1638.3817443163732,2528.3496725217524,1638.5942839298652,2528.2899629866424,1638.450724450408,2528.134990624588,1640.548263146991,2530.5164380502542,1648.2332383358485,2531.8243213213364,1653.4367253986622,,,,,,,,,,
4,,,,,,,,,,,,,,,,,1017.3916311224723,1078.7199006428707,1039.006308832121,1056.9229057172447,1104.5868651421094,1056.8866851197938,1113.0861125811718,1054.3131909677818,1166.2924235962612,1027.1626606112768,,,1311.7008286745215,957.7679600740364,,,,,,,1637.9965799804365,833.9583648781088,,,,,1687.0264821714652,800.5730324246297,1688.7841999900897,800.361157848037,1689.2324506292932,800.266186067197,1690.3639404440348,799.9734507488246,1690.4575807414053,799.7375968309219,1690.6132510417424,799.5634705680177,1691.2656779240874,799.1454333664949,1691.2812489122668,799.003885413788,1692.3027232157633,798.7816803579444,1695.2467391098548,797.4406890780492,1695.2697466567574,797.4535418753454,1696.201566242604,797.3516214977371,1696.3594083910384,797.2964622810392,1698.6167288254035,797.0863549210035,1702.2936289691277,796.3316674740088,1702.2913132881843,796.398166976124,1702.3508782150907,796.2874661913004,1702.2748180335934,796.3471106366806,1702.3653513340394,796.2417579895895,1706.6996388619257,793.6974999065013,1717.8341674967266,784.9642680620393,1750.5815420366837,750.5370416637742,1906.356492304365,740.2705545003668,1924.0149166620715,747.512850716278,2065.1804089077186,753.5019457311242,2220.263958608732,790.918454261342,2231.8435271773765,798.9043369872013,2245.9897156771685,810.2538749703384,2304.797261078931,877.5375687439479,2372.5606268195866,987.1272710536981,2376.515386466368,992.1078666960898,2386.6450426998567,1034.9425415628623,2391.195852346557,1039.9579091729324,2395.773137019993,1047.7746389816614,2396.034779192601,1048.4909908498041,2396.168445485661,1048.2360269921776,2396.3397807522156,1048.6193884238314,2396.15314685082,1048.4181549827085,2418.6704132197056,1081.2622329550402,2442.228037430302,1099.218225934141,2445.6062774800216,1102.1486402183925,2483.870024877334,1145.811907548231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,1763.4141745757183,1349.8771641160968,1923.2766255780864,1373.3708964581085,2081.6716713003234,1410.5533247471228,2199.4660890762398,1396.8248504948144,2352.912067536911,1410.4522366049896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
