,8,12,15,2,17,13,19,18,16,14,10,7,6,5,4,3,1,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
1,,,,,,,,,,,,,,,,,,706.7029202559227,1134.898795610459,728.7760142244327,992.0997958796931,752.8829142244529,971.6210184966022,,,,,,,488.86095478376205,519.9179505475877,407.7829425953257,661.4474012153286,,,367.7028442064154,763.9935327865942,291.09671649586454,870.1757159306563,288.4913906424607,1063.4288801458704,416.74801761812887,1192.9754428528715,678.4911116862397,1161.9524571537615,822.4618033908969,1114.815821656542,881.303181550741,1127.2541269266953,,,1094.474788513359,1176.2804059984185,1187.638397232282,1139.2929807944665,,,1350.1424196131534,1020.0706492653126,,,,,,,1357.4833097596006,1007.9710926891138,1414.8850425994349,1010.8044809834519,1668.365836405996,952.8877425870166,1726.9848321249171,998.1179567581567,1726.75757646768,998.1347265052092,1726.9277961048813,998.255746394059,1727.7036647961143,998.8206807169557,1727.8862737430027,999.0285289388388,1728.2108396957071,998.9864911988292,1728.2056144382257,999.0696381005744,1728.3118388668343,999.1933864992635,1728.416567763175,999.0612606097368,1728.220120444761,998.9547765148395,1728.3306539167875,999.1023248248629,1728.4304841404485,999.1988575350771,1728.493256334673,999.1486014231012,1728.5145027951012,999.3197903251591,1728.5061384720166,999.1377321031673,1728.6017590387683,999.2171644815869,1728.562282852537,999.1677265646647,1728.546857867812,999.237177948204,1728.4592455794466,999.3153020440595,1728.860876702018,999.3422930351389,1729.02944779009,999.3483240435758,1729.1039615736265,999.3981727371549,1729.0188754641385,999.4242585844156,1729.0711589966204,999.3051439536291,1729.2246044112192,999.447873781495,1732.0751585369276,1000.6302478021186,1734.4518949977805,1001.3119591860088,1735.228851332844,1002.5134477761114,1735.308550082274,1002.4578681553784,1735.2560841211343,1002.3868896599986,1735.2229348845326,1002.3462268947432,1735.2699463947492,1002.539084670659,1735.2363659391544,1002.3704100953745,1735.2120318581744,1002.3752582851736,1735.1145277838273,1002.4380338560301,1735.2540762776955,1002.3929556184963,1735.2829874794493,1002.5803236962088,1735.139861513644,1002.3859714470145,1735.1044344953818,1002.3125086018033,1735.2544066872854,1002.3139537101193,1735.2684179692642,1002.4346782914685,1735.2117369862003,1002.4081376980612,1735.3140397303407,1002.322982540269,1735.3199017809804,1002.4464217129356,1735.4660048361,1002.3361794709413,1735.2734865569757,1002.4343436206526,1735.1436111922371,1002.492668960307,1735.2918915660505,1002.3968556243352,1735.236317664858,1002.3764189944835,1735.3583944042264,1002.311210739681,1735.3414368828403,1002.4110394882241,1735.2727356158282,1002.3772056633252,1735.323094795511,1002.597510168607,1735.143056653418,1002.3848843190822,1735.1919250584517,1002.3912835732467,1735.2198226966684,1002.3305781261303,1735.3594276150216,1002.2674891645951,1735.2927416797995,1002.5016603717504,1735.2290073111953,1002.2826028413762,1735.1549971583677,1002.4382161375445,1735.2037892088488,1002.4224985966703,1735.172592437618,1002.3749680527168
3,,,,,,,,,,,,,,,,,,1048.5261490916453,667.8713608125806,1059.0523837609742,654.6030957825349,,,,,,,,,,,,,,,,,,,,,,,1135.3408715457258,517.5970794993166,1138.5021525255493,517.2054073921516,1151.8981690817166,514.0287275199661,1235.6134211270148,511.6694689329675,1254.6472412163985,509.1490241945346,1273.5759809276192,490.4652200382143,1299.8844215528063,477.1389404607219,1300.526356848408,470.7095290980863,1300.9058717733342,470.4776564153486,1309.8608383887583,466.89875481380085,1331.018723991234,439.7627573321729,1330.7632403496234,439.57425486198554,1330.76210225176,439.6853491559374,1330.6521260989628,439.7558233884362,1330.8399472578096,439.9096013094167,1330.6265909842637,439.4761820118204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.4351618333574,285.69773141646283,1483.9231328528826,283.90321459953935,1483.2021510386749,284.1644177257229,1483.3561281530153,283.87642910454156,1484.0448539607617,284.07453364547206,1483.8279080080247,284.24867869246305,,,1487.8464392611822,275.6930742689102,1487.169797961488,275.8576286154238,1488.6893015645917,276.4757844630773,1487.4030456181756,275.7400223951066,1514.9932329253072,265.29237063231795,1517.5416662023008,262.0465508979114,1520.5476062741045,258.6483060611692,1525.1565645702606,248.41297371763122,1530.8244822846407,247.0447684232044,1531.1646373323144,246.74418812109727,1531.3570557457576,246.232874562253,1531.050737186225,246.87028553259302,1531.1450121604555,246.57930880145946,1540.4623452523372,239.24637450075426,1539.5342427448443,235.84860967785934,1541.31126459441,233.8136815251093,1544.3026507292668,232.7746115622635,,,,,1545.7644819111167,228.862763112499,1546.2724558775928,228.63984567259695,,,,,,,,,,,,,,,1552.171109420575,210.5075072457488,,,,,,,,,1553.8668085279096,209.65545105855222,,
4,,,,,,,,,,,,,,,,,,1106.4361592667412,1037.5606288670722,1101.4570798405264,1036.9247215953435,1101.2972362017867,1037.2100236342412,1101.1645863231495,1036.7412851386227,1100.6090428393056,1036.7615563567795,1075.527641070441,1031.496617977212,1046.07413298473,1028.1349843221053,1011.1311890250048,1026.0854908908232,988.9991273485999,1022.4684247779667,987.1531284832431,1023.4275251187569,955.9602842325307,1021.8457025525355,944.4383610835041,1016.693219110614,923.414741364037,1007.2631650416643,907.2126785901422,998.5506111515389,896.981187420274,979.0717109674833,889.0920961545162,969.1361483638987,800.2888751421613,956.7402622748772,641.8925858209684,1022.9312358439854,486.5284236225601,1108.9058784810518,453.1057306100513,1170.0108859637874,450.73451439331507,1172.1548342629364,448.4764824096191,1177.779931515364,418.9497726030391,1197.398248685948,328.4733693418821,1325.7057094940249,325.66615872463444,1456.960997229424,302.02063646193255,1496.5995856187124,175.9691357566419,1573.3661744855092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1452.5687424436999,1298.028190404862,,,,,,,1519.807532987008,1214.238043323395,1538.7597775442423,1175.7325668190967,,,,,,,,,,,,,,,,,,,,,1494.9072185337639,920.443034329594,1494.5048662415395,920.2618328263254,1394.145568714675,915.1054865832127,1410.2811437713096,907.6693719594056,1431.7662399658414,896.3561355478055,1425.0713448059062,882.2420842115189,1395.5259035360757,862.5137898250674,1388.5057980871725,864.3909960903617,1378.4497317617972,866.0986343139618,1377.7388473773813,864.7876850009526,1371.650753548068,865.7106364132577,1371.8070869130158,865.711484129178,1371.7694404209813,865.6244713817174,1371.9596586848384,865.765513201559,1371.8836910557761,865.6249684160952,1371.9855150231035,865.6532738632205,1371.9786879777287,866.0340562449727,1371.9129140276773,865.8532823732587,1372.071101226249,865.9597363487773,1372.102424053302,865.9139470198965,1372.0067181113332,865.9220559759076,1372.20978242009,865.883776456811,1372.2240334872977,865.7652222821176,1372.0824907972033,865.8728939339568,1372.1511961939461,865.8310902544152,1372.0820274845119,865.8358647864884,1372.0592833932924,865.735249347228,1371.8617195648224,865.971640040499,1372.036287405127,865.7942485610996,1372.0915279933517,865.862917968316,1371.9445513750272,865.747271026519,1372.07709128652,865.8550649127708,1372.3125774211746,865.8010459092524,1372.1431695358629,865.8820395650048,1372.0310742588526,865.7427308802451,1371.8775191497755,865.9860449753206,1372.3086441264861,865.7118083141944,1372.1159656129346,865.8197160095126,1372.3720222219072,866.0717355624589,1372.0739726727184,865.7649846915933,1372.1923241275663,865.9876917364738,1372.2223335181388,865.8870855143351,1372.0514285781403,866.0220023844424,1372.016040477804,865.8867804422448,1371.955320879493,865.8919377723923,1372.0777822577643,866.0254038323362,1372.1752197670553,865.6881882108913,1372.22722211006,866.0331331198374,1372.0583131848616,865.8622211281242,1372.0798705647142,865.9221737464603,1371.950739780441,865.9203291572231,1372.1819695080148,865.9034474939454,1372.2306176953473,865.8906934123507,1372.262327222915,865.9628460451103,1372.0672599046188,865.8789078901272,1372.0636730003368,865.825922208803,1372.2593066289119,865.7379930082881,1372.0970266094976,865.7847447511028,1372.3029309324506,865.9656271219095,1372.0509261368118,865.793038980608,1372.1658150630315,866.0051014741406,1372.19180980892,865.9871694193296,1372.226690706694,865.9594633754282,1372.0230342900861,865.9582544234129,1371.8841612069232,866.0214719366232,1372.0082445258295,866.1763157355102,1372.1403939049064,865.9758792377628,1372.0169165288244,865.8320514285765,1372.0998153134253,865.9007142105719,1371.8836115439742,866.0224628048521,1372.2143172043443,866.0058718771879,1372.2589017103949,865.8770437780651,1372.1876685181567,865.8720995524066
6,,,,,,,,,,,,,,,,,,1599.458102005975,1164.3590491728835,1545.8636516457955,1159.252130094474,1506.934972536161,1120.0345115341188,1495.7946967472963,1102.1444471808254,,,,,1400.504131826486,981.8236595248565,,,1359.0273540378996,944.0788944255019,1361.1218615036485,925.2002933334926,1357.4928829176654,909.114493391535,1357.0535189482237,908.7935570360311,1339.40558856261,892.9760323491962,1320.8463828227732,879.3383333687606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403.9230021352835,536.6695230285364,1412.9386158137445,533.3049929081188,,,1412.1383312785727,475.30862338693487,1439.7242261535398,478.1175834646993,1439.8741234388349,477.9944308804458,1455.9073875751665,458.69223961623834,1502.5522752790005,457.4590008545393,1503.5190279292763,457.165311383301,1528.5567666722743,438.38560509704905,1528.2754901521741,438.43655348450494,1566.4803691559296,429.46959184135176,1574.8292222400355,426.6862610445759,1574.7845384241054,426.84337073431294,1579.0128594293344,424.6980310173654,1591.5641704647949,417.41266203317866,1591.5411029207548,417.3020881833439,,,,,,,,,1703.1054595145765,283.05593212664724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,1548.223072235899,946.0242025962323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.0867869511414,337.58135097483205,1227.9187030055343,303.2806402054757,1228.9930666894047,301.1980224379011,1283.1845738602863,243.38708871298516,1348.9684925452148,214.39441773705113,1348.6159160375378,214.47017095216682,1348.5666023123654,214.24502657306815,1348.3858451691328,214.11198585715832,1348.5948017325607,214.21195276720744,1349.0479472284708,213.97219000411192,1348.7302803094065,214.0128351818459,1348.7946648919171,214.38210436613986,1347.9660511650363,214.36436802472173,1349.0848533007606,214.62142045429937,1348.524138414353,214.39044391273194,1348.1749876593462,214.35261187332245,1349.1598087668508,214.39730527337474,1348.576560185827,214.4255218536076,1348.4243702663425,213.91128070850786,1348.6159709858644,214.18096198801408,1348.701118110079,214.2345750549133,1348.7093100437128,214.28467828736316,1348.8084169431168,213.97436932900405,1348.838950402577,214.19447382851743,,,,,1349.1832856741432,214.16956859264445,1348.914383923444,214.14906877430522,1348.8189080037127,214.39483016782933,,,1348.976043774891,214.73498521684223,1349.0225268874478,214.07822612759193,1349.179452861941,214.2819430102312,1349.2209142127958,214.27951235059345,,,1348.9576436079494,214.36207490587813,,,1348.9462131587977,214.41273881112124,,,1348.300550195941,214.38641615579672,1348.0088442023462,214.80560097734963,1348.762620787011,214.7300259601297,1348.706929868074,214.2326685450795,,,1349.1358485172148,214.39255114811525,1348.3402190722002,214.46143587688525,1348.93003795212,214.57575887004134,1349.195063486987,214.4138943690181,1348.7845881944631,214.5566744078978,1348.6683758513593,214.3549976066185,1348.6770254837788,214.64150465054982,1349.0575518001758,214.49352153364336,1349.055038718702,214.50024807762395,1349.163499722694,214.50442002685415,1348.8593091211883,214.13731448139407
10,,,,,,,,,,,,,,,,,,895.5643979727012,988.0945063684976,935.0559171012904,975.3292302800871,974.219783905127,960.1683673924823,1001.8528158202448,931.0763662072382,1012.2915614317596,922.3191687337039,1019.7903128525438,901.7778781471641,1001.5578268417655,894.0335869540804,997.0516591750813,884.4067039468199,991.137204799222,878.7393779270944,1002.6774575693764,877.8776162212631,1029.37372096255,879.1102759060145,1029.9573281943417,878.1575035169514,1024.7797700179328,874.8507737784423,1012.5343221801214,864.9088173772128,998.8069855225689,846.1645439167127,,,,,995.7057376785069,819.9051523564733,986.8966269320059,818.9427511280983,976.4887808919872,813.0575321732283,970.1568432916393,813.1538489601737,996.0551120136722,855.1514493863596,1028.2737432622307,895.6320068143482,1028.580793551233,895.5070696863111,1028.9271401216556,897.0918139157294,1030.7842730566213,899.1943958944958,1031.4081620442264,998.6835311256326,1006.7955130342506,1024.8642186083175,1000.9470419839461,1031.619964749962,966.5963772746212,1052.9528556236587,966.6012465202343,1053.0532977094404,966.6714286485275,1053.0035591698654,963.6894207587806,1057.0386616387113,960.7910146184422,1059.5437982122046,960.3007542573047,1060.280293249695,957.28041883752,1064.4373598339503,957.1961896582616,1064.6091309080311,957.2403596399851,1064.609294264689,957.2711010195692,1064.534325547979,957.2360116457135,1064.609188353369,953.8039508271603,1067.9487658626601,945.9811032763487,1075.5044836851464,,,984.5209230390622,1017.9999365800394,975.1360428652655,1056.3819942346413,857.0696906166022,1106.5441539862563,820.1639978034542,1105.5528987031619,748.3341048244246,1078.5379093918757,854.5706075666469,946.9186574382757,900.0567096045005,1086.250059139336,,,892.95556839507,938.3597494091821,916.3569038880087,1060.3609177363473,782.0005536460902,950.2735593523613,943.3653612639588,953.4957450276329,779.2905361583028,1046.4792898200624,829.4087719438508,919.5399959932306,956.6278180066107,953.6927880036955,963.9106154505346,961.8019528404243,903.7702626370022,1078.8032487451876,870.2798352185257,1097.270556929386,737.3888633741792,1071.3031311853827,864.0790144252115,956.2257142486305,896.9184557677158,1082.0784601415414,,,813.1311801517248,945.1342481214587,924.7137556288925,1020.5499003157164,,,936.4180555068435,976.2355171581584,930.6637074470867,1092.329645367428,797.4694013585769,992.3423830961311,962.9326414888676,1070.744855025471,833.5429918387007,1124.157461615574,946.867083630708,1006.905240802676,916.8533266036576,1136.1557841649126,875.8995024787441,988.7480144276283,975.1361628782377,1017.1900452978875,915.6791634793398,1158.8371074000254,895.262418247126,991.397227445368,1024.816964642875,999.3842673812438,1024.8939834107787,999.4288376308522,1024.722241936509,999.4922915343657,1024.9562589324125,999.3630056822424,1024.901943923236,999.3323902684941,1024.8185271068116,999.478636654306,1046.8053301426294,1059.4120597068634,1047.643559166678,1064.772648276824,1035.717933309262,1111.7166325486646,1035.1882661030152,1113.2981191911113
14,,,,,,,,,,,,,,,,,,1359.0024705927206,1125.207009372716,1341.7704835881657,1163.408244820478,1334.5312187695351,1169.6378611689236,1333.018136019806,1173.9691144302092,1326.6387862923673,1178.471604485569,1319.8642895006476,1186.2059350488105,1315.5848543564646,1201.3081498333265,1311.0044996826084,1214.3027679546014,,,1302.8906364594231,1254.669018392121,1300.4156644431596,1309.226054624302,1299.9726033774075,1312.2893371409634,1299.2539748629624,1315.8913979629808,1299.1439213941007,1316.7992434805392,1298.8476913756658,1317.5997127282374,1298.9275766404753,1318.0973025647454,1297.4909311026984,1323.2586792728118,1297.4359413673676,1324.1904940134461,1296.4153288834978,1328.8329194946273,1296.0013397701018,1331.6090004056225,1295.471984742971,1333.428304017649,1294.4865112449168,1337.346255944735,1291.4498498669548,1345.8934431504626,1289.7109501032196,1350.9119943147045,1288.425807679106,1354.2703007965529,1285.1787067858995,1361.818379488675,1284.3473958805728,1364.0449416237518,1252.6565931290916,1398.8625309449392,1252.359961995983,1399.3892110712072,1245.6750787306978,1414.245191826183,1237.7174345696792,1423.1860809228158,1237.1310044437869,1423.6150460580006,1235.8385602796543,1424.9480065356763,1235.6967050805238,1425.0406761335119,1235.6178060230652,1424.9546915172446,1235.568173606499,1424.8124274427587,1231.2322360330916,1434.5960725743266,1231.1681072755882,1434.6210506529576,1231.0431313838249,1434.8145496198479,1230.8658012045607,1434.9526722466708,1230.902570879934,1434.8050939453008,1230.8908206034039,1434.9124405005555,1230.1016936969602,1436.0825173786352,1229.8160133591562,1436.1648097651869,1228.307332816132,1438.1609864633624,1218.3490472668846,1470.1460755328649,1218.0992067006084,1470.323753370967,1215.3284861533823,1476.3072857723503,1211.5962163601844,1487.8917287348677,1210.7729513757936,1488.8898043852544,1210.785266059417,1488.8439034642017,1205.147002610741,1496.390977708718,1200.944244106143,1501.4292096373417,1195.7350197675848,1508.2575983239587,1195.4145189589703,1508.6429936858724,1195.0811539475083,1508.961243926387,1195.1049340904615,1509.1785082418444,1194.870199661512,1509.5211945578235,1194.4800116873623,1509.9216514906386,1187.9716235704025,1516.3077470455266,1184.0629351429866,1525.379317006844,1182.0181871620769,1527.790338732339,1181.823026444478,1527.9282552664981,1181.8627580540078,1527.9341027019784,1181.992769946115,1528.008562159659,1181.8097622006594,1528.074262848646,1181.794271012998,1528.2757646742352,1168.6115747869471,1541.3303534639879,1155.7640883554752,1558.7692228561061,1155.7927107879868,1559.124854021282,1155.709702075041,1559.0778847575123,1155.7084095264302,1558.9406172423583,1155.728133432393,1559.0403541084002,1155.7099900087055,1559.0860942320985,1150.0547443054318,1570.079081129966,1150.0513269778244,1570.017337396787,1150.1512265549393,1570.0574201307202,1150.0464820292768,1570.2716651844232,1149.910401163076,1570.3764093239822,1139.7336796752584,1580.0637022130195,1139.76336611147,1580.034225152239,1123.6588048615502,1592.8420395896849,1111.1071080544323,1602.149488312928,1111.1708650162677,1602.2560990525908,1104.567461834399,1612.3619004716975,1104.6782139612271,1612.3089745790342,1104.7777259718705,1612.371359064165,1104.6139020659214,1612.352227535505,1104.7314960566005,1612.3050855886643
16,,,,,,,,,,,,,,,,,,1622.6885926684513,1395.3634005268718,,,,,,,1624.1895907653231,1383.3218981951131,1621.909947812796,1371.5248179708483,1620.3839305026222,1368.1451009924085,1620.0323486768789,1367.2891049699638,1618.1966663517376,1364.9009829172958,1613.7660164565812,1360.4314085436058,1612.9542930515906,1359.6935075212464,1612.9219216423735,1359.3602095985989,1611.1464670847918,1357.8437083297786,,,1609.0321987744167,1355.6880333591027,1608.7057160809948,1355.5631856820924,1608.3042479929986,1355.3002311026562,1608.140355680369,1355.3112823554095,1607.9556894985767,1354.5875212650903,1606.5214100895591,1352.7016043656743,1605.9439442458668,1352.5807758211902,1605.6721613875109,1352.5507276394787,1605.1695109205036,1351.9366676791171,1603.7864539115574,1350.8801292298729,1603.3737407224276,1350.620287960611,1602.7983595721928,1349.9869095026054,1601.9031756300394,1349.1568667336862,1601.0561924821482,1348.8784071988737,1601.0750163018072,1348.895539817346,1600.6011108531632,1348.6493413856633,1600.078767651534,1348.4883065063457,1599.9011199044312,1348.2880460014128,1598.758031542962,1347.506644420375,1598.6167377874926,1347.5618510999536,1598.620242334665,1347.369090493303,1598.2529839363738,1347.374138878446,1598.2778478717448,1347.174287312991,1598.4284008591378,1347.2925539498365,1598.242770278686,1347.2587090508423,1598.425983981328,1347.2252781053821,1598.1126243641195,1347.0853279840564,1598.2483700648831,1347.230697970747,1598.1887934466401,1346.9511980120592,1598.237198868083,1347.0768803181347,1597.5373644752349,1346.8614850265108,1597.72368593316,1346.7319918021078,1597.714166620349,1346.7111923043194,1597.4097699308647,1346.5695089646333,1597.4971427936441,1346.4097155080601,1597.3185076450316,1346.454151166244,1597.3485102853172,1346.3446627744645,1597.189826124319,1346.3695177920201,1597.4222149577738,1346.2658613260407,1597.3027572448025,1346.352246798916,1597.1675478816142,1345.951712355221,1596.9001695915206,1346.032717934089,1596.6294556988103,1345.7809495405847,1596.3583679680999,1345.562803817318,1596.5370072701178,1345.605084925348,1596.4030464577895,1345.565050186067,1596.4955737497255,1345.4423143443153,1596.4188112020086,1345.515050544919,1596.3974557748033,1345.5073360708543,1596.258330338735,1345.3767298981331,1596.268921753888,1345.2857225539926,1596.2640257643525,1345.3240346270622,1596.4952264096175,1345.45891921627,1596.3529185004786,1345.210984694748,1596.2800069792597,1345.3016570598304,1596.2355206584718,1345.547514379475,1596.278821494235,1345.343351297901,1596.336061897502,1345.2873713257188,1596.2949195965414,1345.1923103569982,1596.2930516024262,1345.2777631400966,1596.4508930232269,1345.4098818386215,1596.2615154794441,1345.3155992108698,1596.19313138099,1345.2012665367145,1596.2069726022746,1345.2975769966881,1596.3182439001434,1345.363762163721,1596.365439483341,1345.3008529843771,1596.2809422122189,1345.0981171915423,1596.2133279768318,1345.3653005552014,1596.195977635363,1345.0932019351985,1596.1921161742098,1345.1731467498696,1596.2789569372876,1345.3290734047173,1596.2199537958404,1345.1796513769689,1596.2454081443436,1345.1766743252028,1596.1468082098993,1345.1788354777284,1596.2550067472457,1345.2454693877066
18,,,,,,,,,,,,,,,,,,1089.7832626573477,877.9881495864224,1039.2779266483349,841.6930344223236,1043.0574302082603,804.9225768696472,,,1051.8693268807153,763.3902540335513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.5328549803049,530.1140905672304,,,,,665.7262428245573,516.2063435895725,,,,,,,,,,,2241.661694720966,2489.0256571113805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.22661831464166,415.81785621419954,,,419.29029113707475,419.2519592182479,415.887856949218,419.0623006458911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
